year,domestic,overseas,total,overseas_pct,usd_jpy,overseas_usd_bn,domestic_usd_bn,total_usd_bn
2002,7243,3725,10968,34.0,125.39,0.3,0.58,0.87
2003,6970,4212,11182,37.7,115.93,0.36,0.6,0.96
2004,7403,4827,12230,39.5,108.15,0.45,0.68,1.13
2005,7827,5215,13042,40.0,110.22,0.47,0.71,1.18
2006,8300,5204,13504,38.5,116.31,0.45,0.71,1.16
2007,8753,4390,13143,33.4,117.75,0.37,0.74,1.12
2008,9751,4137,13888,29.8,103.39,0.4,0.94,1.34
2009,10117,2544,12661,20.1,93.57,0.27,1.08,1.35
2010,10372,2867,13239,21.7,87.78,0.33,1.18,1.51
2011,10715,2669,13384,19.9,79.81,0.33,1.34,1.68
2012,10987,2408,13395,18.0,79.82,0.3,1.38,1.68
2013,11946,2823,14769,19.1,97.6,0.29,1.22,1.51
2014,13105,3266,16371,19.9,105.74,0.31,1.24,1.55
2015,12458,5834,18292,31.9,121.04,0.48,1.03,1.51
2016,12226,7677,19903,38.6,108.79,0.71,1.12,1.83
2017,11473,9948,21421,46.4,112.14,0.89,1.02,1.91
2018,11715,10092,21807,46.3,110.43,0.91,1.06,1.97
2019,13136,12009,25145,47.8,109.01,1.1,1.21,2.31
2020,11805,12394,24199,51.2,106.78,1.16,1.11,2.27
2021,14288,13134,27422,47.9,109.75,1.2,1.3,2.5
2022,14685,14592,29277,49.8,131.5,1.11,1.12,2.23
2023,16243,17222,33465,51.5,140.49,1.23,1.16,2.38
2024,16705,21702,38407,56.5,151.97,1.43,1.1,2.53
